x	y
689627.0331	5994189.186
689625.7813	5994219.733
689553.0896	5994216.754
689553.0839	5994216.893
689553.0181	5994216.887
689553.0482	5994217.764
689551.8396	5994247.269
689490.3909	5994245.209
689479.0672	5994244.745
689477.799	5994275.717
689332.4174	5994269.766
689331.1511	5994300.715
689294.8422	5994299.229
689296.107	5994268.311
689296.0396	5994268.308
689296.0408	5994268.278
689259.7311	5994266.793
689260.1757	5994255.924
689260.9945	5994235.904
689260.99	5994235.904
689260.9934	5994235.821
689115.6107	5994229.877
689114.3449	5994260.849
689041.6541	5994257.878
689041.6247	5994258.598
689037.0634	5994288.691
688967.7118	5994285.858
688967.7086	5994285.881
688967.6983	5994285.88
688967.694	5994285.982
688963.3087	5994316.649
688930.0724	5994315.291
688930.0694	5994315.366
688930.0574	5994315.365
688928.8101	5994345.913
688747.0552	5994338.495
688745.7919	5994369.466
688564.1316	5994362.059
688564.1306	5994362.081
688564.1214	5994362.081
688563.9356	5994366.641
688562.8083	5994392.997
688531.2614	5994391.712
688490.1094	5994390.035
688489.6563	5994401.157
688483.8118	5994544.628
688520.1866	5994546.11
688518.7637	5994581.033
688517.668	5994607.922
688444.9925	5994604.961
688446.254	5994573.99
688409.9371	5994572.511
688411.193	5994541.671
688411.1358	5994541.668
688411.1411	5994541.537
688374.8293	5994540.059
688374.8239	5994540.19
688374.8182	5994540.19
688373.4778	5994573.11
688372.3016	5994602.001
688299.622	5994599.043
688299.621	5994599.068
688299.5518	5994599.065
688298.7869	5994617.861
688298.2935	5994629.984
688288.8729	5994629.601
688262.0502	5994628.509
688262.0492	5994628.536
688261.988	5994628.533
688260.745	5994659.081
688188.0607	5994656.124
688188.0557	5994656.246
688188.0534	5994656.246
688185.5389	5994718.066
688112.8578	5994715.111
688116.455	5994626.638
688116.6846	5994622.596
688043.9363	5994619.639
688039.2402	5994650.073
688039.2293	5994650.072
688006.3185	5994648.735
688005.06	5994679.706
687968.8184	5994678.233
687970.0717	5994647.385
687969.9402	5994647.379
687969.9451	5994647.257
687933.6342	5994645.782
687932.3761	5994676.753
687896.003	5994675.275
687892.2326	5994768.113
687886.4443	5994767.954
687819.547	5994765.238
687820.6644	5994737.713
687820.9413	5994734.237
687810.3434	5994733.807
687784.5681	5994732.761
687784.5666	5994732.796
687784.494	5994732.793
687783.2405	5994763.676
687746.8748	5994762.2
687749.3842	5994700.363
687814.8695	5994703.021
687822.1965	5994703.318
687825.059	5994632.806
687825.953	5994610.785
687814.766	5994610.331
687789.5788	5994609.308
687790.0934	5994596.629
687790.8338	5994578.39
687790.7611	5994578.387
687790.7621	5994578.361
687500.0355	5994566.57
687504.7804	5994449.483
687506.2903	5994412.225
687542.6659	5994413.699
687547.4849	5994294.806
687547.4072	5994294.792
687547.6126	5994289.724
687512.4903	5994288.3
687513.8074	5994226.735
687550.1061	5994228.206
687550.107	5994228.183
687550.1851	5994228.187
687554.738	5994115.856
687555.1887	5994104.734
687533.2703	5994103.846
687518.8106	5994103.26
687520.0635	5994072.341
687519.9859	5994072.338
687519.9875	5994072.299
687483.672	5994070.828
687484.7741	5994043.626
687484.9378	5994039.948
687484.9231	5994039.949
687484.9268	5994039.857
687412.2642	5994036.913
687411.9551	5994044.545
687411.7434	5994044.559
687408.2701	5994097.279
687408.1654	5994098.778
687373.429	5994097.371
687373.4284	5994097.384
687373.378	5994097.382
687370.887	5994158.9
687334.5723	5994157.43
687334.5689	5994157.514
687334.5564	5994157.513
687334.2277	5994165.632
687333.3059	5994188.402
687296.9415	5994186.93
687298.1951	5994155.958
687261.8803	5994154.488
687261.3589	5994166.76
687260.9909	5994174.588
687260.5511	5994185.457
687224.2501	5994183.988
687222.997	5994214.959
687187.1276	5994213.508
687186.6751	5994213.467
687182.2839	5994244.259
687149.0474	5994242.915
687147.8089	5994273.537
687111.4417	5994272.066
687111.4386	5994272.14
687111.4292	5994272.14
687111.4316	5994272.314
687110.1893	5994303.037
687001.1861	5994298.63
687001.1852	5994298.653
687001.1803	5994298.652
687000.3128	5994320.118
686999.9307	5994329.571
686975.0038	5994328.564
686890.9328	5994325.167
686890.9322	5994325.197
686890.8697	5994325.195
686889.6187	5994356.167
686854.2684	5994354.739
686853.2425	5994354.614
686851.9885	5994385.669
686779.3043	5994382.734
686778.0712	5994413.282
686741.6791	5994412.237
