PROV	COUNTY	TOWN	POP	CASES	DEATHS	MORT	FIRST_DAY	LAST_DAY	x	y
Munster	Kerry	Dingle	3386	86	37	43	156	176	413048.7063	5777232.979
Munster	Kerry	Killarney	7127	116	65	56	128	215	465417.1862	5767824.448
Munster	Kerry	Listowel	2598	26	13	50	143	171	467011.7185	5810761.712
Munster	Kerry	Tralee	11363	395	249	63	124	203	452240.613	5791445.511
Leinster	Kildare	Athy	4698	27	11	40.8	204	300	635196.3962	5873260.188
Leinster	Kildare	Maynooth	2129	141	47	33.3	186	304	660170.9148	5917389.577
Leinster	Kildare	Naas	3571	0	0	0	0	0	656270.734	5899364.294
Leinster	Kilkenny	Craiguenamanagh	2248	11	10	91	226	357	638682.4288	5823567.911
Leinster	Kilkenny	Freshford	2075	88	31	35.2	82	573	608247.6541	5843719.905
Leinster	Kilkenny	Kilkenny	23625	1046	529	50.5	65	329	618727.144	5835244.066
Leinster	Kilkenny	Thomastown	2348	14	7	50	65	89	626259.1456	5821292.162
Leinster	King's	Banagher	2827	62	20	32.2	158	191	567130.5694	5893484.644
Leinster	King's	Parsonstown	6336	604	263	43.5	158	232	573004.2214	5883728.356
Leinster	King's	Portarlington	3106	0	0	0	0	0	621161.1449	5891737.923
Leinster	King's	Tullamore	6343	175	114	65.1	173	252	600461.3612	5903980.019
Munster	Limerick	Limerick	65296	1500	746	49.7	85	278	524987.1545	5835405.593
Munster	Limerick	Newcastle	2917	145	38	26.4	107	145	496290.4995	5810952.775
Munster	Limerick	Rathkeale	4201	409	182	44.5	113	149	504267.7416	5819301.979
Ulster	Londonderry	Coleraine	6255	3	1	33.3	7	142	648668.4519	6111215.952
Ulster	Londonderry	Londonderry	15150	58	14	24.1	38	108	608201.7261	6095722.786
Ulster	Londonderry	Newtownlimavady	3101	2	2	100	212	216	631571.891	6102541.191
Leinster	Longford	Granard	2408	0	0	0	0	0	599382.0649	5960019.061
Leinster	Longford	Longford	4966	240	145	60.4	161	261	584398.0758	5953525.621
Leinster	Louth	Ardee	3679	120	20	16.6	129	311	661786.4456	5970486.412
